,"1313 pagewynne drive, plano tx",ut dallas,"2400 Preston Rd #200, Plano, TX 75093","6121 W Park Blvd, Plano, TX 75093","2300 Coit Rd, Plano, TX 75075","3800 N Central Expy, Plano, TX 75074","4757 W Park Blvd #108, Plano, TX 75093","2109 W Parker Rd #210, Plano, TX 75023","5901 Coit Rd, Plano, TX 75093","710 W Renner Rd #220, Richardson, TX 75080"
"1313 pagewynne drive, plano tx",0.0,5860.0,3447.0,6812.0,2560.0,12381.0,2594.0,6953.0,5375.0,5925.0
ut dallas,5856.0,0.0,9216.0,12370.0,5875.0,10546.0,7421.0,7956.0,8690.0,2781.0
"2400 Preston Rd #200, Plano, TX 75093",3184.0,9161.0,0.0,4140.0,2813.0,10734.0,608.0,7354.0,5582.0,9443.0
"6121 W Park Blvd, Plano, TX 75093",7180.0,12265.0,4168.0,0.0,6411.0,18798.0,4272.0,11192.0,9240.0,12546.0
"2300 Coit Rd, Plano, TX 75075",2896.0,7077.0,3511.0,6788.0,0.0,8508.0,2666.0,4761.0,2815.0,7335.0
"3800 N Central Expy, Plano, TX 75074",14996.0,13596.0,18331.0,21485.0,11093.0,0.0,12640.0,6856.0,9111.0,10353.0
"4757 W Park Blvd #108, Plano, TX 75093",2853.0,9143.0,845.0,4122.0,2481.0,15677.0,0.0,7869.0,6097.0,9425.0
"2109 W Parker Rd #210, Plano, TX 75023",6927.0,8020.0,7963.0,11240.0,5571.0,4097.0,7118.0,0.0,5671.0,5239.0
"5901 Coit Rd, Plano, TX 75093",5207.0,9339.0,5076.0,9099.0,2774.0,8761.0,4976.0,5014.0,0.0,9404.0
"710 W Renner Rd #220, Richardson, TX 75080",5809.0,2653.0,9169.0,12323.0,6531.0,9566.0,8077.0,5581.0,9346.0,0.0
